State,County,GeoFIPS,Region,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IL,Kane," ""17089""",3,Population (persons) 1/,Number of persons,246945,251879,255583,258479,261722,265767,267612,269325,271148,276176,277027,278852,280143,278859,280933,286381,289277,293743,298651,305242,311186,319491,325727,332476,339619,346687,356995,366912,376725,386103,396371,407847,423975,440437,453929,466884,475384,485179,495752,504437,511273,516068,519110,520669,522626,525625,528760,530726,532272,532720,532403
IL,Kankakee," ""17091""",3,Population (persons) 1/,Number of persons,97040,97342,98659,99695,99351,99787,99990,100458,101619,103025,104238,102886,102544,101218,99560,98513,97039,95926,95692,95481,95611,96560,97598,99215,100766,101736,101923,102296,102951,103222,103675,103842,104490,104932,105794,106744,107917,109735,111499,112658,113107,113418,113519,112974,112735,111883,111750,111080,110540,109953,109862
IL,Kendall," ""17093""",3,Population (persons) 1/,Number of persons,25406,26474,26984,28551,29843,30353,31225,32104,33585,34869,36589,37344,37847,37531,37093,37261,37283,37322,37813,38416,39131,39508,40290,41006,42008,43579,44924,47218,49153,51025,52845,55311,58437,62523,67740,73723,81107,90740,100917,108559,112490,115373,116814,118246,119566,121374,122878,124535,126152,127717,128990
IL,Knox," ""17095""",3,Population (persons) 1/,Number of persons,61452,60820,60616,61014,61284,62141,62250,62255,62137,62015,61720,61501,60973,59943,59365,58668,57554,56636,56898,56700,56526,56380,56412,56464,56580,56367,56308,56114,56081,56114,55987,55783,55329,54963,54425,53909,53513,53196,52894,52836,52817,52912,52705,52302,52129,51944,51370,50917,50577,49978,49699
IL,Lake," ""17097""",3,Population (persons) 1/,Number of persons,374447,382881,385152,391375,391621,398883,408007,416636,426525,433994,440720,442432,449826,451470,455347,457407,465821,473870,482608,492692,505632,520187,532119,543244,554697,567357,580911,596182,609714,621618,633094,648150,658986,668022,668760,677735,684419,689891,692995,697369,701042,704170,701642,702083,704207,704294,704611,704158,702475,699587,696535
IL,LaSalle," ""17099""",3,Population (persons) 1/,Number of persons,111646,111487,111969,111519,110904,110183,110041,110262,110079,109837,108799,111855,110949,109687,108926,108595,107957,107473,107017,106303,106468,107126,107553,108182,109093,109459,109936,110660,110956,111422,111600,111600,112212,111904,110949,112135,112565,113139,113794,114171,113999,113823,113533,112918,112430,111660,111019,110215,109622,109159,108669
IL,Lawrence," ""17101""",3,Population (persons) 1/,Number of persons,17679,17574,17872,17841,17995,18083,17901,18000,18155,17858,17805,17890,18190,18232,18212,18092,17860,17301,16834,16464,16229,15928,16025,15956,15992,16080,16178,16025,15831,15683,15546,15432,15527,16045,16455,16562,16910,16730,16952,16935,16802,16940,16901,16728,16728,16562,16465,16182,16027,15813,15678
IL,Lee," ""17103""",3,Population (persons) 1/,Number of persons,38109,37890,37878,37015,37082,36705,36912,36937,36839,37009,36524,36401,36633,35724,34656,34476,34330,34238,34184,34249,34210,34476,34711,34929,35345,35614,36040,36029,36222,36214,36080,36092,36100,35825,35586,35704,35635,35905,36191,36272,36189,35983,35609,35216,35121,34910,34521,34494,34540,34296,34096
IL,Livingston," ""17105""",3,Population (persons) 1/,Number of persons,40778,40884,41875,41816,41444,41451,41697,41490,41893,41971,41533,41402,41417,41003,40481,40495,40191,39799,39441,39481,39405,39354,39086,39558,39871,40048,40330,39601,39774,39610,39785,39751,39881,39519,39095,39145,39062,38978,39069,39071,39054,38854,38805,38511,37394,37036,36605,36107,36124,35714,35648
IL,Logan," ""17107""",3,Population (persons) 1/,Number of persons,33654,33485,33725,32827,32818,32787,32892,33041,32443,32626,31641,31873,32103,31419,31110,30947,31354,31046,30824,30880,30989,30765,30726,30868,30869,30930,31148,31014,31043,31465,31264,31161,30934,30873,30958,30981,30795,30562,30498,30513,30342,30283,30270,30358,29826,29660,29284,29166,29034,28912,28618
